Layer_name,Not_equal_num_boxes
batch_normalization,
batch_normalization_1,
batch_normalization_2,0.2932584269662921
batch_normalization_3,0.3413333333333333
batch_normalization_4,0.36
batch_normalization_5,0.4917391304347826
batch_normalization_6,0.235
batch_normalization_7,0.2928421052631579
batch_normalization_8,0.24022727272727273
batch_normalization_9,0.2965217391304348
batch_normalization_25,
batch_normalization_42,
batch_normalization_56,
batch_normalization_71,
conv2d,
conv2d_1,0.37865168539325844
conv2d_2,0.1651111111111111
conv2d_3,0.23333333333333334
conv2d_4,0.22021276595744682
conv2d_5,0.11887640449438203
conv2d_6,0.29790697674418604
conv2d_7,0.23161290322580644
conv2d_8,0.20968421052631578
conv2d_9,0.1958695652173913
conv2d_25,0.11911111111111111
conv2d_42,0.10373626373626374
conv2d_56,0.031612903225806455
conv2d_71,
